Croatian,English,Word Frequency
je,is,8496117
da,that,6765902
ne,not,4132126
se,is,4011403
i,and,3661082
u,in,3650538
to,it,3236950
sam,himself,2985576
što,what,2496292
na,on,2118868
ti,you,1796482
za,for,1716329
mi,me,1674924
si,Si,1614317
li,li,1583987
ja,I,1331918
su,are,1215542
ali,but,1184078
nije,Not,1120242
s,with,984410
samo,only,946065
ga,him,928871
me,me,895683
od,from,889129
a,And,884298
bi,would,878569
ovo,this,870035
kako,how,859349
te,you,859247
će,will,818424
o,on,809414
dobro,good,766040
ako,if,753009
smo,we,743030
sa,with,734637
sve,all,714003
kao,as,683963
ću,I'll,671736
biti,be,617456
tako,so,614626
znam,I know,603899
ste,you are,600748
nisam,I am not,584183
ovdje,here,582750
bio,was,577603
mogu,I can,565137
pa,and,529306
zašto,why,527281
on,he,520049
još,more,503602
redu,order,495499
bilo,any,478606
nešto,something,477028
kad,when,462631
koji,who,461629
vas,your,453969
mislim,I think,414723
hvala,thank you,410831
iz,from,407749
ili,or,391064
možda,maybe,386400
ih,them,369780
gdje,where,369724
ima,have,366035
vam,you,363123
više,more,362698
znaš,You know,360720
rekao,said,351485
sada,now,347456
moj,my,346368
onda,then,344002
bih,BiH,340779
tko,who,326110
mu,him,325599
ćemo,we will,325431
do,to,321867
nema,No,318970
bila,was,318747
ništa,nothing,316203
zar,right,312496
nas,our,312096
ona,she,310378
želim,I want to,307119
malo,little,301565
mene,me,300051
može,can,281355
vi,you,274973
molim,I pray,274474
kada,when,273432
reći,say,272658
šta,what,268705
jer,because,266710
prije,ago,266090
tebe,you,262794
hej,hey,261050
imam,I have a,257821
možeš,You can,257170
sad,now,256587
tu,here,256576
ćeš,you will,254718
zbog,cause of,250251
ni,nor,249623
nam,us,248761
tamo,there,248311
jesi,you are,242183
ljudi,People,237325
nisi,You are not,228672
svi,all,227992
moram,I have to,227629
uvijek,always,218101
treba,should,217453
stvarno,really,215683
hajde,Come on,214243
po,per,213198
jedan,one,212129
koliko,how much,210085
već,already,204498
idemo,Let's go,203608
misliš,you mean,202269
zato,because,199614
baš,bass,196297
nego,than,195842
neće,won't,194364
bez,beige,193161
oh,Oh,192270
stvari,things,192021
vrijeme,time,191914
moja,mine,189974
možemo,We can,188811
dok,while,188735
koje,which,188644
ono,it,188211
joj,her,183700
oni,they,181945
želiš,want,181135
toga,toga,179865
ovaj,this one,174965
žao,evil,172770
imaš,You have,172222
taj,that,170704
naravno,of course,169170
tome,to that,168641
mogao,could,165910
posao,job,162581
gospodine,sir,160825
moramo,we have to,160713
koja,which,159510
znači,So,159344
imamo,We have,158637
dana,days,157386
moje,mine,157332
nikad,never,156976
tvoj,your,155417
dan,day,155087
bili,were,153908
rekla,Said,150940
put,time,148359
radi,works,148333
godina,year,147733
bolje,better,144049
svoje,your own,141795
moraš,You have to,140614
daj,Come on,140232
nemoj,do not,140010
bože,God,138939
puno,a lots of,138364
neću,I won't,137522
netko,Someone,137339
ok,Ok,136979
meni,menu,136294
možete,you can,135713
kod,code,135704
reci,say,134470
mislio,thought,133208
vidjeti,see,132939
jeste,is,132723
mama,mom,132336
izgleda,Looks,132299
znate,you know,132265
dobar,good,131118
dva,two,130890
mora,must,130303
njega,him,129615
imao,had,129548
stvar,thing,129343
nisu,They are not,129069
život,life,128924
im,them,127696
tata,dad,125374
vremena,times,125303
radiš,You work,122847
vidio,saw,121695
volim,I love,121326
jako,very,121314
pomoći,help,118585
ići,to go,116859
vidim,I see,116261
kući,home,115871
nikada,never,115712
danas,today,115689
zna,He knows,114947
trebao,need,113905
dogodilo,happened,112761
neka,some,111950
hoćeš,you will,111497
opet,again,111307
vrlo,very,111263
upravo,just,111156
svoj,its,111145
učiniti,do,110494
nakon,after,109470
odmah,immediately,109290
ime,Name,108725
sigurno,safe,108014
svoju,My,107947
tri,three,107816
idem,I am going to,107695
želi,He wants,107147
g,Mr,106563
evo,Here,106439
nitko,nobody,106404
jesam,Yes I am,106319
čovjek,man,105379
mnogo,many,104896
čemu,What,103239
tim,team,103182
koju,which,102026
tvoja,your,101904
bit,bit,100936
zdravo,Hello,100618
oko,eye,99384
no,But,99361
tobom,to you,98888
ćete,you will,98372
neki,some,98187
čak,even,98058
kaže,he says,97786
znao,knew,97778
nismo,We are not,97538
toliko,that much,97368
ide,goes,96796
žena,woman,96239
bok,Hi,96143
mnom,to me,96049
htio,wanted,95973
prema,according to,94859
postoji,there is a,94660
ta,this,93391
mjesto,place,93361
bude,be,93230
god,yr,91408
čekaj,hang on,91382
kažem,I say,91329
novac,money,90139
dovoljno,enough,90114
imate,you have a,89724
vidi,Look,89603
nemam,I have not,89500
drugi,other,89325
tvoje,your,89024
ju,Ju,88716
jednom,once,88697
prvi,First,88126
način,way,87695
otac,father,87636
došao,came,87142
doći,come,86039
znati,knowing,85891
oprosti,I'm sorry,85339
tebi,to you,84760
idi,Go,84583
njih,them,84097
lijepo,nice,83830
ove,these,83528
dakle,therefore,83179
vrata,door,82183
godine,years,81856
želite,want,81728
vidimo,we see,81698
puta,times,81693
događa,happens,81418
sranje,shit,81013
sebe,yourself,80501
vaš,your,79897
razgovarati,to talk,79711
čini,do,79665
naći,find,79621
nekoliko,several,79290
pravu,right,79241
dušo,Honey,79194
dalje,further,78465
dobra,Good,78443
zajedno,together,78377
drago,Drago,78359
problem,an issue,78270
previše,too much,77861
imati,have,77764
trebam,I need,77732
kroz,through,77418
siguran,sure,77310
poput,like,77239
sutra,tomorrow,77053
vratiti,return,76964
ma,ma,76618
zapravo,actually,76522
dobiti,get,76411
ovamo,here,76405
dođi,come,76073
jedna,one,75509
mogla,could,75125
dugo,Long,74938
otići,leave,74588
pravo,Law,74310
gore,up,74208
točno,exactly,73648
svaki,each,73620
pod,the floor,73540
vidiš,You see,73515
vama,you,73022
osim,except,72800
radim,I work,72773
oprostite,Sorry,72726
naš,our,72690
ubio,killed,72518
njim,to him,72234
dosta,Enough,72234
raditi,work,72208
ova,this,71999
slušaj,Listen,71899
noć,night,71853
mogli,could,71843
ubiti,kill,71114
neke,some,70906
čovječe,man,70770
niste,You are not,70273
teško,heavy,70032
